"filename", "language", "PHP", "SQL", "HTML", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/._register.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/css/._main.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/css/._reset.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/db/._db.sql", "SQL", 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/font/._readme.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/js/._expert.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/js/._expertcheckbox.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/__MACOSX/resources/._font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/admin.html", "HTML", 0, 0, 260, 0, 0, 0, 0, 78, 338
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/admin.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/check_admin.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/config.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_categories.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 10, 23
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_contacts.php", "PHP", 17, 0, 0, 0, 0, 0, 1, 6, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_internal.php", "PHP", 11, 0, 0, 0, 0, 0, 1, 6, 18
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_internals_by_category.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 10, 25
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_name.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_name_and_telegram_by_id.php", "PHP", 18, 0, 0, 0, 0, 0, 1, 8, 27
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/backend/get_profession.php", "PHP", 19, 0, 0, 0, 0, 0, 1, 7, 27
